Mobile No,First Name,Last Name,PIN Code,Group No,City,Prefix
9.19766E+11,abc,xyz,411001,5,Pune,1
9.19703E+11,pqr,lmn,411234,5,pune,1
9.18984E+11,abc,xyz,411467,5,Pune,1
9.17351E+11,pqr,lmn,411700,5,pune,1
9.18309E+11,abc,xyz,411933,5,Pune,1
9.18422E+11,pqr,lmn,412166,5,pune,1
9.19961E+11,abc,xyz,412399,5,Pune,1
9.19159E+11,pqr,lmn,412632,5,pune,1
9.19658E+11,abc,xyz,412865,5,Pune,1
9.19658E+11,pqr,lmn,413098,5,pune,1
9.19764E+11,abc,xyz,413331,5,Pune,1
9.19764E+11,pqr,lmn,413564,5,pune,1
9.19881E+11,abc,xyz,413797,5,Pune,1
9.19924E+11,pqr,lmn,414030,5,pune,1
9.1996E+11,abc,xyz,414263,5,Pune,1
9.1989E+11,pqr,lmn,414496,5,pune,1
9.19176E+11,abc,xyz,414729,5,Pune,1
9.18055E+11,pqr,lmn,414962,5,pune,1
9.19405E+11,abc,xyz,415195,5,Pune,1
9.17387E+11,pqr,lmn,415428,5,pune,1
9.19422E+11,abc,xyz,415661,5,Pune,1
9.17875E+11,pqr,lmn,415894,5,pune,1
9.19764E+11,abc,xyz,416127,5,Pune,1
9.19764E+11,pqr,lmn,416360,5,pune,1
9.18606E+11,abc,xyz,416593,5,Pune,1
9.18056E+11,pqr,lmn,416826,5,pune,1
9.18007E+11,abc,xyz,417059,5,Pune,1
9.186E+11,pqr,lmn,417292,5,pune,1
9.19767E+11,abc,xyz,417525,5,Pune,1
9.19765E+11,pqr,lmn,417758,5,pune,1
9.19922E+11,abc,xyz,417991,5,Pune,1
9.18008E+11,pqr,lmn,418224,5,pune,1
9.19975E+11,abc,xyz,418457,5,Pune,1
9.18806E+11,pqr,lmn,418690,5,pune,1
9.18626E+11,abc,xyz,418923,5,Pune,1
9.18796E+11,pqr,lmn,419156,5,pune,1
9.19553E+11,abc,xyz,419389,5,Pune,1
9.19623E+11,pqr,lmn,419622,5,pune,1
9.19765E+11,abc,xyz,419855,5,Pune,1
9.19503E+11,pqr,lmn,420088,5,pune,1
9.19561E+11,abc,xyz,420321,5,Pune,1
9.18276E+11,pqr,lmn,420554,5,pune,1
9.19029E+11,abc,xyz,420787,5,Pune,1
9.19421E+11,pqr,lmn,421020,5,pune,1
9.17386E+11,abc,xyz,421253,5,Pune,1
9.19158E+11,pqr,lmn,421486,5,pune,1
9.19768E+11,abc,xyz,421719,5,Pune,1
9.19545E+11,pqr,lmn,421952,5,pune,1
9.19527E+11,abc,xyz,422185,5,Pune,1
9.17351E+11,pqr,lmn,422418,5,pune,1
9.18601E+11,abc,xyz,422651,5,Pune,1
9.18606E+11,pqr,lmn,422884,5,pune,1
9.19527E+11,abc,xyz,423117,5,Pune,1
9.186E+11,pqr,lmn,423350,5,pune,1
9.18975E+11,abc,xyz,423583,5,Pune,1
9.18626E+11,pqr,lmn,423816,5,pune,1
9.19674E+11,abc,xyz,424049,5,Pune,1
9.18421E+11,pqr,lmn,424282,5,pune,1
9.19623E+11,abc,xyz,424515,5,Pune,1
9.17588E+11,pqr,lmn,424748,5,pune,1
9975361237,abc,xyz,424981,5,Pune,1
9.19561E+11,pqr,lmn,425214,5,pune,1
9.19503E+11,abc,xyz,425447,5,Pune,1
9.19561E+11,pqr,lmn,425680,5,pune,1
9.19658E+11,abc,xyz,425913,5,Pune,1
9.19623E+11,pqr,lmn,426146,5,pune,1
9.18308E+11,abc,xyz,426379,5,Pune,1
9.18976E+11,pqr,lmn,426612,5,pune,1
9.1973E+11,abc,xyz,426845,5,Pune,1
9.19924E+11,pqr,lmn,427078,5,pune,1
9.19961E+11,abc,xyz,427311,5,Pune,1
9.19159E+11,pqr,lmn,427544,5,pune,1
9.18483E+11,abc,xyz,427777,5,Pune,1
9.19405E+11,pqr,lmn,428010,5,pune,1
9.19158E+11,abc,xyz,428243,5,Pune,1
9.18976E+11,pqr,lmn,428476,5,pune,1
9.18447E+11,abc,xyz,428709,5,Pune,1
9.18553E+11,pqr,lmn,428942,5,pune,1
9.17388E+11,abc,xyz,429175,5,Pune,1
9.19528E+11,pqr,lmn,429408,5,pune,1
9.17621E+11,abc,xyz,429641,5,Pune,1
