Mobile No,First Name,Last Name,PIN Code,Group No,Address,Prefix
9860318317,ZPPS MIDC POWER LOOM BEED,ASHOK NAGAR,431122,15,BEED,1
9326898819,ZPPS SYEDALI NAGAR BEED,ASHOK NAGAR,431122,15,BEED,1
9403487043,ZPPS GANDHI NAGAR MARATHI BEED,ASHOK NAGAR,431122,15,BEED,1
9975366309,ZPPS KARANJA BEED,ASHOK NAGAR,431122,15,BEED,1
9421715976,ZPCPS ASHOK NAGAR,ASHOK NAGAR,431122,15,BEED,1
9420130399,ZPPS PETHBEED NO 1 URDU,ASHOK NAGAR,431122,15,BEED,1
9049317615,ZPPS GANDHI NAGAR URDU BEED,ASHOK NAGAR,431122,15,BEED,1
9028916124,ZPPS MOMINPURA,ASHOK NAGAR,431122,15,BEED,1
9421096778,ZPPS WASANADI,ASHOK NAGAR,431122,15,BEED,1
1234567890,ZPPS GIRAM WASTI WASANWADI,ASHOK NAGAR,431122,15,BEED,1
9420192180,ZPPS ANANDWADI JIREWADI,AZIZPURA,431122,15,BEED,1
9421505091,ZPPS DHANGARWADI (WASANWADI),AZIZPURA,431122,15,BEED,1
7588042430,ZPPS AJABEWASTI KHAP. PANGRI,AZIZPURA,431122,15,BEED,1
9975770075,ZPPS ANTARWAN PIMPRI TANDA,AZIZPURA,431122,15,BEED,1
9422536192,ZPPS MAULI NAGAR PANGRI ROAD BEED,AZIZPURA,431122,15,BEED,1
9404179647,ZPPS LAXMI NAGAR BEHINDE SAI PRATISHTHAN,AZIZPURA,431122,15,BEED,1
9226355786,ZPPS URDU HINANAGAR BIHIND HINA PETROL PUMP BEED,AZIZPURA,431122,15,BEED,1
9657435292,ZPPS JIREWADI,AZIZPURA,431122,15,BEED,1
9403595764,ZPPS BAHIRWADI JEREWADI,AZIZPURA,431122,15,BEED,1
9049178991,ZPPS KHAPAR PANGRI,AZIZPURA,431122,15,BEED,1
8888902578,ZPCPS AJIJPURA MARATHI,AZIZPURA,431122,15,BEED,1
9420785811,ZPPS JUNABAZAR MARATHI,AZIZPURA,431122,15,BEED,1
9763774250,ZPPS SHIVAJI NAGAR MARATHI,AZIZPURA,431122,15,BEED,1
